postcode,lat,lng,MSOA11CD
BS1 1AD,51.458457,-2.574165,E02006887
BS1 1BT,51.453546,-2.595635,E02003043
BS1 1BU,51.453654,-2.593938,E02003043
BS1 1DA,51.454791,-2.595004,E02003043
BS1 1DB,51.455176,-2.595467,E02003043
BS1 1DD,51.459757,-2.574944,E02006889
BS1 1DE,51.455277,-2.595167,E02003043
BS1 1DL,51.453646,-2.594138,E02003043
BS1 1DP,51.454904,-2.594327,E02003043
BS1 1DQ,51.452418,-2.593215,E02003043
BS1 1DR,51.455437,-2.593458,E02003043
BS1 1DW,51.454929,-2.594386,E02003043
BS1 1DZ,51.455428,-2.595557,E02003043
BS1 1EA,51.454601,-2.595431,E02003043
BS1 1EB,51.455156,-2.595728,E02003043
BS1 1EE,51.45478,-2.595721,E02003043
BS1 1EH,51.453543,-2.594928,E02003043
BS1 1EL,51.454419,-2.595803,E02003043
BS1 1EQ,51.454258,-2.5954,E02003043
BS1 1HQ,51.454321,-2.593988,E02003043
BS1 1HT,51.454387,-2.594883,E02003043
BS1 1HW,51.453962,-2.593797,E02003043
BS1 1JG,51.454829,-2.593074,E02003043
BS1 1JH,51.454514,-2.593142,E02003043
BS1 1JL,51.45381,-2.595335,E02003043
BS1 1JN,51.454541,-2.593056,E02003043
BS1 1JQ,51.454404,-2.593529,E02003043
BS1 1JR,51.453739,-2.595247,E02003043
BS1 1JS,51.45355,-2.595331,E02003043
BS1 1JW,51.453982,-2.593466,E02003043
BS1 1JX,51.453695,-2.594701,E02003043
BS1 1LA,51.454269,-2.593183,E02003043
BS1 1LJ,51.454197,-2.593182,E02003043
BS1 1LT,51.453541,-2.59493,E02003043
BS1 1NA,51.453546,-2.595635,E02003043
BS1 1NG,51.4532,-2.594796,E02003043
BS1 1NR,51.453213,-2.594377,E02003043
BS1 1NS,51.45328,-2.596697,E02003043
BS1 1PN,51.453251,-2.593917,E02003043
BS1 1QB,51.453327,-2.593184,E02003043
BS1 1QP,51.453499,-2.592841,E02003043
BS1 1QW,51.453536,-2.592712,E02003043
BS1 1QZ,51.453778,-2.59283,E02003043
BS1 1RA,51.453657,-2.59362,E02003043
BS1 1RB,51.453592,-2.594123,E02003043
BS1 1RG,51.453555,-2.594309,E02003043
BS1 1RT,51.453664,-2.59588,E02003043
BS1 1RU,51.45358,-2.596497,E02003043
BS1 1SA,51.453263,-2.59648,E02003043
BS1 1SE,51.453215,-2.595672,E02003043
BS1 1TG,51.453806,-2.59437,E02003043
BS1 1TP,51.453724,-2.594743,E02003043
BS1 1UA,51.453646,-2.593679,E02003043
BS1 1UB,51.4539,-2.593637,E02003043
BS1 1UE,51.453839,-2.592948,E02003043
BS1 1UQ,51.454121,-2.592619,E02003043
BS1 1WH,51.452796,-2.593191,E02003043
BS1 1XA,51.454051,-2.595669,E02003043
BS1 1XH,51.453914,-2.596257,E02003043
BS1 1XR,51.453534,-2.596698,E02003043
BS1 1YA,51.453845,-2.595594,E02003043
BS1 1YH,51.453964,-2.595106,E02003043
BS1 1YL,51.454084,-2.596417,E02003043
BS1 2AA,51.457569,-2.59357,E02003043
BS1 2AF,51.456334,-2.595643,E02003043
BS1 2AG,51.457419,-2.592749,E02003043
BS1 2AL,51.457111,-2.594861,E02003043
BS1 2AN,51.454852,-2.591995,E02003043
BS1 2AR,51.457111,-2.594847,E02003043
BS1 2AS,51.457111,-2.594847,E02003043
BS1 2AT,51.454533,-2.592912,E02003043
BS1 2AU,51.457111,-2.594847,E02003043
BS1 2AW,51.454239,-2.592476,E02003043
BS1 2AX,51.457999,-2.59382,E02003043
BS1 2AZ,51.454801,-2.592989,E02003043
BS1 2BA,51.456974,-2.593564,E02003043
BS1 2BB,51.455045,-2.59299,E02003043
BS1 2BD,51.455574,-2.59163,E02003043
BS1 2BE,51.456965,-2.593564,E02003043
BS1 2BF,51.456974,-2.593564,E02003043
BS1 2BG,51.456974,-2.593564,E02003043
BS1 2BJ,51.456511,-2.594349,E02003043
BS1 2BL,51.455989,-2.592673,E02003043
BS1 2BN,51.456387,-2.594089,E02003043
BS1 2BQ,51.455682,-2.59123,E02003043
BS1 2DD,51.455845,-2.590973,E02003043
BS1 2DF,51.456186,-2.591193,E02003043
BS1 2DJ,51.456652,-2.591372,E02003043
BS1 2DL,51.457352,-2.591955,E02003043
BS1 2DP,51.456601,-2.590939,E02003043
BS1 2DS,51.456761,-2.591458,E02003043
BS1 2DU,51.457592,-2.592291,E02003043
BS1 2EH,51.455338,-2.593384,E02003043
BS1 2EJ,51.45517,-2.59315,E02003043
BS1 2EL,51.45534,-2.593383,E02003043
BS1 2EP,51.45558,-2.593962,E02003043
BS1 2EQ,51.455809,-2.594571,E02003043
BS1 2ER,51.455714,-2.594136,E02003043
BS1 2EU,51.455831,-2.593994,E02003043
BS1 2EY,51.45596,-2.593434,E02003043
BS1 2EZ,51.455888,-2.594931,E02003043
BS1 2HF,51.455538,-2.595112,E02003043
BS1 2HG,51.455602,-2.59484,E02003043
BS1 2HL,51.455247,-2.594,E02003043
BS1 2HP,51.455574,-2.59163,E02003043
BS1 2HR,51.455921,-2.59398,E02003043
BS1 2HS,51.456186,-2.594705,E02003043
BS1 2HT,51.456235,-2.593842,E02003043
BS1 2HW,51.455114,-2.593682,E02003043
BS1 2JL,51.45558,-2.595417,E02003043
BS1 2JT,51.456519,-2.594866,E02003043
BS1 2JY,51.456677,-2.592162,E02003043
BS1 2LA,51.456467,-2.592836,E02003043
BS1 2LE,51.456631,-2.592392,E02003043
BS1 2LJ,51.457785,-2.593128,E02003043
BS1 2LU,51.458423,-2.593567,E02003043
BS1 2LX,51.458436,-2.594546,E02003043
BS1 2LY,51.458613,-2.595196,E02003043
BS1 2LZ,51.455989,-2.592673,E02003043
BS1 2NB,51.455991,-2.592672,E02003043
BS1 2NH,51.456448,-2.596434,E02003043
BS1 2NJ,51.457485,-2.595658,E02003043
BS1 2NN,51.457338,-2.596217,E02003043
BS1 2NR,51.457485,-2.595658,E02003043
BS1 2NT,51.457867,-2.594813,E02003043
BS1 2NU,51.456736,-2.59651,E02003043
BS1 2NZ,51.457961,-2.595664,E02003043
BS1 2PH,51.455325,-2.59242,E02003043
BS1 2PY,51.456771,-2.594511,E02003043
BS1 2PZ,51.45662,-2.594479,E02003043
BS1 2QD,51.457102,-2.593134,E02003043
BS1 3AD,51.455968,-2.584784,E02003043
BS1 3AE,51.456218,-2.583334,E02006887
BS1 3AF,51.456739,-2.585111,E02003043
BS1 3AG,51.457042,-2.585418,E02003036
BS1 3AU,51.457818,-2.586709,E02003036
BS1 3BA,51.45828,-2.585895,E02003036
BS1 3BB,51.458237,-2.591247,E02003036
BS1 3BD,51.458512,-2.584559,E02006887
BS1 3BE,51.45801,-2.58625,E02003036
BS1 3BF,51.458892,-2.585874,E02006887
BS1 3BH,51.458141,-2.585273,E02006887
BS1 3BL,51.455916,-2.591204,E02003043
BS1 3BN,51.455924,-2.591764,E02003043
BS1 3BQ,51.458235,-2.586081,E02003036
BS1 3BU,51.457725,-2.587327,E02003043
BS1 3BX,51.458512,-2.584559,E02006887
BS1 3BZ,51.456925,-2.587144,E02003036
BS1 3DA,51.459132,-2.58494,E02006887
BS1 3DB,51.456306,-2.592632,E02003043
BS1 3DD,51.45647,-2.592102,E02003043
BS1 3DF,51.457311,-2.58768,E02003043
BS1 3DG,51.460344,-2.592541,E02003036
BS1 3DH,51.457156,-2.586239,E02003036
BS1 3DJ,51.456965,-2.586783,E02003036
BS1 3DN,51.457092,-2.591793,E02003043
BS1 3DQ,51.456965,-2.586783,E02003036
BS1 3DR,51.457557,-2.590347,E02003036
BS1 3DT,51.457026,-2.590612,E02003043
BS1 3DU,51.456965,-2.586639,E02003036
BS1 3DW,51.457375,-2.590934,E02003036
BS1 3DX,51.457182,-2.590053,E02003043
BS1 3DY,51.457263,-2.588197,E02003043
BS1 3DZ,51.457708,-2.587426,E02003043
BS1 3EA,51.457392,-2.58948,E02003043
BS1 3ED,51.457741,-2.589715,E02003036
BS1 3EE,51.458054,-2.58972,E02003036
BS1 3EF,51.457521,-2.586934,E02003043
BS1 3EG,51.457514,-2.586632,E02003036
BS1 3EH,51.457196,-2.588974,E02003043
BS1 3EL,51.458418,-2.589321,E02003036
BS1 3EN,51.458175,-2.583619,E02006887
BS1 3EP,51.457413,-2.588633,E02003043
BS1 3EQ,51.459419,-2.592169,E02003036
BS1 3ER,51.459419,-2.592169,E02003036
BS1 3ES,51.459419,-2.592169,E02003036
BS1 3EU,51.45774,-2.588261,E02003043
BS1 3EW,51.459419,-2.592169,E02003036
BS1 3EX,51.457008,-2.585344,E02003036
BS1 3FB,51.460716,-2.591453,E02003036
BS1 3FD,51.464055,-2.589208,E02003034
BS1 3FE,51.463954,-2.58948,E02003034
BS1 3FF,51.463774,-2.589535,E02003034
BS1 3FG,51.463623,-2.589216,E02003034
BS1 3FH,51.46375,-2.588916,E02003034
BS1 3FJ,51.459074,-2.594426,E02003043
BS1 3HA,51.458188,-2.588254,E02003036
BS1 3HB,51.457979,-2.588698,E02003036
BS1 3HE,51.458314,-2.58827,E02003036
BS1 3HF,51.457906,-2.587241,E02003036
BS1 3HH,51.458335,-2.587493,E02003036
BS1 3HT,51.457757,-2.591545,E02003036
BS1 3HY,51.457561,-2.591355,E02003036
BS1 3JA,51.4579,-2.590408,E02003036
BS1 3JD,51.457847,-2.590177,E02003036
BS1 3JE,51.458315,-2.589953,E02003036
BS1 3JL,51.458509,-2.590504,E02003036
BS1 3JP,51.458952,-2.588637,E02003036
BS1 3JQ,51.458626,-2.588992,E02003036
BS1 3JR,51.458975,-2.587615,E02003036
BS1 3JS,51.458674,-2.588302,E02003036
BS1 3JX,51.458581,-2.58712,E02003036
BS1 3LE,51.459856,-2.589397,E02003034
BS1 3LG,51.459798,-2.586418,E02003034
BS1 3LH,51.458904,-2.592481,E02003036
BS1 3LL,51.460066,-2.59045,E02003034
BS1 3LN,51.459448,-2.591824,E02003036
BS1 3LQ,51.459689,-2.588675,E02003034
BS1 3LR,51.458936,-2.591717,E02003036
BS1 3LT,51.458895,-2.590724,E02003036
BS1 3LU,51.459109,-2.589574,E02003036
BS1 3LX,51.459094,-2.588811,E02003036
BS1 3LY,51.460066,-2.59045,E02003034
BS1 3LZ,51.459081,-2.58789,E02003036
BS1 3NG,51.460607,-2.591653,E02003036
BS1 3NH,51.460455,-2.591823,E02003036
BS1 3NN,51.460696,-2.592157,E02003036
BS1 3NU,51.459478,-2.593019,E02003036
BS1 3NW,51.459952,-2.593543,E02003036
BS1 3NX,51.459988,-2.591687,E02003036
BS1 3NY,51.459571,-2.5941,E02003043
BS1 3NZ,51.458687,-2.593009,E02003036
BS1 3PG,51.456898,-2.583889,E02006887
BS1 3PH,51.45741,-2.584126,E02006887
BS1 3PJ,51.457239,-2.584081,E02006887
BS1 3PL,51.461016,-2.591225,E02003036
BS1 3PQ,51.456898,-2.583889,E02006887
BS1 3PR,51.461019,-2.590549,E02003034
BS1 3PU,51.459799,-2.586416,E02003034
BS1 3PY,51.461556,-2.591103,E02003036
BS1 3QD,51.461668,-2.59024,E02003034
BS1 3QP,51.462232,-2.590451,E02003036
BS1 3QU,51.46237,-2.589862,E02003034
BS1 3QY,51.462831,-2.589651,E02003034
BS1 3RB,51.46295,-2.590647,E02003036
BS1 3RD,51.463188,-2.590087,E02003036
BS1 3RJ,51.463396,-2.589602,E02003034
BS1 3RR,51.463629,-2.590079,E02003036
BS1 3RU,51.464126,-2.58948,E02003034
BS1 3RW,51.463755,-2.590066,E02003036
BS1 3RZ,51.464178,-2.589956,E02003036
BS1 3SB,51.463933,-2.590199,E02003036
